id,name,belongs_to,main_category,created_at,updated_at,url,국민신문고 통합여부 1:미통합 2:통합,number_of_minwon,latest_minwon_date,조사시간,비고
1,부산,광역시,광역자치단체,01:37.0,01:37.0,,,,,,
2,대구,광역시,광역자치단체,55:20.0,00:57.0,,,,,,
3,인천,광역시,광역자치단체,55:20.0,00:57.0,,,,,,
4,광주,광역시,광역자치단체,55:20.0,00:57.0,,,,,,
5,대전,광역시,광역자치단체,55:20.0,00:57.0,,,,,,
6,울산,광역시,광역자치단체,55:20.0,00:57.0,,,,,,
7,세종,특별자치시,광역자치단체,55:21.0,00:57.0,http://eminwon.sejong.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,2,2746,2017.3.29,2020-07-01 13:32:23.464652,
8,경기,도,광역자치단체,55:21.0,00:57.0,,,,,,
9,강원,도,광역자치단체,55:21.0,00:57.0,,,,,,
10,충북,도,광역자치단체,55:21.0,00:57.0,,,,,,
11,충남,도,광역자치단체,55:21.0,00:57.0,,,,,,
12,전북,도,광역자치단체,55:21.0,00:57.0,,,,,,
13,전남,도,광역자치단체,55:21.0,00:57.0,,,,,,
14,경북,도,광역자치단체,55:21.0,00:57.0,,,,,,
15,경남,도,광역자치단체,55:21.0,00:57.0,,,,,,
16,제주,특별자치도,광역자치단체,55:21.0,00:57.0,,,,,,
17,종로구,서울특별시,기초자치단체,55:21.0,00:57.0,http://jongno.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,1661,2020.6.28,2020-07-01 11:18:53.442021,
